id_deputado,deputado,presencas,votacoes_participadas,ganho_por_dia_trabalhado,ganho_por_votacao_participada
62881,Danilo Forte,266,1827,172.93233082706766,25.177887246852762
66179,,221,1248,208.1447963800905,36.85897435897436
66385,Julio Arcoverde,120,519,383.3333333333333,88.6319845857418
66828,Fausto Pinato,329,2028,139.8176291793313,22.682445759368836
67138,,197,1093,233.502538071066,42.086001829826166
68720,,245,1582,187.75510204081633,29.077117572692792
69871,Bacelar,340,2090,135.2941176470588,22.00956937799043
72442,Felipe Carreras,326,1874,141.1042944785276,24.546424759871933
73433,Arlindo Chinaglia,343,1733,134.11078717201167,26.543566070398153
73441,Celso Russomanno,347,1716,132.56484149855908,26.806526806526808
73460,,233,1388,197.42489270386267,33.14121037463977
73463,,78,377,589.7435897435897,122.0159151193634
73466,,232,1490,198.27586206896552,30.87248322147651
73482,,226,1315,203.53982300884957,34.98098859315589
73486,Pompeo de Mattos,342,2181,134.50292397660817,21.091242549289316
73531,Ivan Valente,335,1872,137.3134328358209,24.572649572649574
73579,Alberto Fraga,120,825,383.3333333333333,55.75757575757576
73586,,225,1374,204.44444444444446,33.47889374090247
73604,Rui Falcão,336,2085,136.9047619047619,22.062350119904078
73692,Osmar Terra,313,1984,146.96485623003196,23.18548387096774
73696,,231,1513,199.13419913419912,30.403172504957038
73701,Benedita da Silva,297,1518,154.88215488215488,30.303030303030305
73768,Dilceu Sperafico,121,544,380.1652892561983,84.55882352941177
73772,,215,1209,213.95348837209303,38.0479735318445
73778,Luiz Carlos Hauly,82,359,560.9756097560976,128.13370473537606
73788,Ricardo Barros,247,1478,186.23481781376518,31.123139377537214
73801,Renildo Calheiros,327,1913,140.67278287461772,24.046001045478306
73806,,50,221,920.0,208.1447963800905
73808,,217,1227,211.9815668202765,37.489812550937245
73891,,7,18,6571.428571428572,2555.5555555555557
73943,,227,1430,202.6431718061674,32.16783216783217
74041,Luiz Couto,122,998,377.04918032786884,46.09218436873748
74043,Wellington Roberto,262,1344,175.57251908396947,34.226190476190474
74044,Wilson Santiago,321,1654,143.30218068535825,27.81136638452237
74052,,242,1369,190.08264462809916,33.60116873630387
74057,Alice Portugal,354,2083,129.94350282485877,22.083533365338454
74060,Daniel Almeida,350,1839,131.42857142857142,25.013594344752583
74075,Elcione Barbalho,281,1563,163.70106761565836,29.43058221369162
74079,José Priante,302,1545,152.31788079470198,29.77346278317152
74084,Raimundo Santos,124,505,370.96774193548384,91.08910891089108
74090,Átila Lins,317,1858,145.11041009463722,24.757804090419807
74095,Pauderney Avelino,73,485,630.1369863013699,94.84536082474227
74141,Josias Gomes,153,647,300.65359477124184,71.09737248840804
74156,Leonardo Monteiro,347,2105,132.56484149855908,21.852731591448933
74158,Mário Heringer,310,1804,148.38709677419354,25.49889135254989
74159,Odair Cunha,343,1740,134.11078717201167,26.436781609195403
74160,Patrus Ananias,346,2431,132.9479768786127,18.922254216371865
74161,Reginaldo Lopes,333,1995,138.13813813813815,23.05764411027569
74165,,117,748,393.1623931623932,61.49732620320856
74171,Chico Alencar,124,807,370.96774193548384,57.001239157372986
74200,,158,985,291.1392405063291,46.7005076142132
74212,,43,181,1069.7674418604652,254.14364640883977
74253,Julio Lopes,150,704,306.6666666666667,65.3409090909091
74254,,40,196,1150.0,234.69387755102042
74262,Carlos Sampaio,339,1645,135.69321533923303,27.96352583586626
