id_deputado,deputado,faltas_injustificadas
204379,Acácio Favacho,91
220714,Adail Filho,274
221328,Adilson Barroso,276
204560,Adolfo Viana,87
204528,Adriana Ventura,42
121948,Adriano do Baldy,41
74646,Aécio Neves,79
136811,Afonso Hamm,59
178835,Afonso Motta,40
160527,Aguinaldo Ribeiro,86
204495,Airton Faleiro,56
204549,AJ Albuquerque,57
73579,Alberto Fraga,272
220538,Albuquerque,279
160559,Alceu Moreira,53
204501,Alencar Santana,51
178972,Alex Manente,46
204571,Alex Santana,57
220542,Alexandre Guimarães,291
220554,Alexandre Lindenmeyer,279
221148,Alfredinho,269
220576,Alfredo Gaspar,268
74057,Alice Portugal,38
178927,Aliel Machado,63
226708,Allan Garcês,311
178937,Altineu Côrtes,179
178881,Aluisio Mendes,63
220707,Amanda Gentil,305
204356,Amaro Neto,35
220715,Amom Mandel,286
107970,Ana Paula Leão,285
220556,Ana Paula Lima,272
220632,Ana Pimentel,273
178831,André Abdon,158
220657,André Fernandes,283
204423,André Ferreira,86
133439,André Figueiredo,36
204515,André Janones,62
220676,Andreia Siqueira,295
123756,Antônia Lúcia,280
220544,Antonio Andrade,277
160553,Antonio Brito,33
220638,Antonio Carlos Rodrigues,268
220675,Antônio Doido,282
220549,Any Ortiz,272
73433,Arlindo Chinaglia,49
141391,Arnaldo Jardim,49
160541,Arthur Lira,119
160600,Arthur Oliveira Maia,83
74090,Átila Lins,75
123086,Átila Lira,273
160665,Augusto Coutinho,46
160512,Aureo Ribeiro,57
69871,Bacelar,52
178975,Baleia Rossi,68
220605,Bandeira de Mello,272
220612,Bebeto,268
73701,Benedita da Silva,95
109429,Benes Leocádio,38
204358,Beto Pereira,63
220683,Beto Richa,273
204374,Bia Kicis,42
204388,Bibo Nunes,40
160538,Bohn Gass,44
210989,Bruno Farias,285
220635,Bruno Ganem,279
220574,Cabo Gilberto Silva,268
143942,Caio Vianna,337
220548,Camila Jara,274
204572,Capitão Alberto Neto,44
220690,Capitão Alden,270
178829,Capitão Augusto,36
213762,Carla Dickson,175
204507,Carla Zambelli,91
178993,Carlos Henrique Gaguim,56
204460,Carlos Jordy,64
74262,Carlos Sampaio,53
204426,Carlos Veras,43
141398,Carlos Zarattini,47
220704,Carol Dartora,286
204369,Caroline de Toni,45
220699,Castro Neto,282
206018,Célia Xakriabá,284
178876,Célio Silveira,53
204488,Célio Studart,55
73441,Celso Russomanno,45
204504,Cezinha de Madureira,62
205476,Charles Fernandes,46
74171,Chico Alencar,268
204462,Chris Tonietto,91
220665,Clarissa Tércio,288
74537,Claudio Cajado,54
141408,Cleber Verde,70
88256,Clodoaldo Magalhães,276
98148,Cobalchini,268
220594,Coronel Assis,270
204378,Coronel Chrisóstomo,42
220595,Coronel Fernanda,281
220666,Coronel Meira,270
220590,Coronel Ulysses,274
178963,Covatti Filho,180
220608,Cristiane Lopes,272
204355,Da Vitoria,48
141411,Dagoberto Nogueira,52
220555,Daiana Santos,284
220692,Dal Barreto,281
