id_deputado,deputado,presencas,sessoes_total,votacoes_participadas,taxa_votacao
62881,Danilo Forte,266,392,1827,0.30313588850174217
66179,,221,392,1248,0.2070681931309109
66385,Julio Arcoverde,120,392,519,0.08611249377799901
66828,Fausto Pinato,329,392,2028,0.33648581383773024
67138,,197,392,1093,0.18135058901609424
68720,,245,392,1582,0.26248548199767713
69871,Bacelar,340,392,2090,0.3467728554836569
72442,Felipe Carreras,326,392,1874,0.3109341297494608
73433,Arlindo Chinaglia,343,392,1733,0.28753940600630495
73441,Celso Russomanno,347,392,1716,0.2847187655550025
73460,,233,392,1388,0.2302969968475195
73463,,78,392,377,0.062551850008296
73466,,232,392,1490,0.24722083955533433
73482,,226,392,1315,0.21818483490957358
73486,Pompeo de Mattos,342,392,2181,0.36187157789945246
73531,Ivan Valente,335,392,1872,0.31060228969636633
73579,Alberto Fraga,120,392,825,0.1368840219014435
73586,,225,392,1374,0.22797411647585863
73604,Rui Falcão,336,392,2085,0.34594325535092085
73692,Osmar Terra,313,392,1984,0.3291853326696532
73696,,231,392,1513,0.25103700016592
73701,Benedita da Silva,297,392,1518,0.25186660029865604
73768,Dilceu Sperafico,121,392,544,0.0902604944416791
73772,,215,392,1209,0.20059731209556994
73778,Luiz Carlos Hauly,82,392,359,0.059565289530446326
73788,Ricardo Barros,247,392,1478,0.24522979923676788
73801,Renildo Calheiros,327,392,1913,0.3174050107848017
73806,,50,392,221,0.03666832586693214
73808,,217,392,1227,0.20358387257341962
73891,,7,392,18,0.0029865604778496766
73943,,227,392,1430,0.23726563796250208
74041,Luiz Couto,122,392,998,0.16558818649410983
74043,Wellington Roberto,262,392,1344,0.2229965156794425
74044,Wilson Santiago,321,392,1654,0.27443172390907583
74052,,242,392,1369,0.2271445163431226
74057,Alice Portugal,354,392,2083,0.34561141529782646
74060,Daniel Almeida,350,392,1839,0.3051269288203086
74075,Elcione Barbalho,281,392,1563,0.25933300149328026
74079,José Priante,302,392,1545,0.2563464410154306
74084,Raimundo Santos,124,392,505,0.08378961340633814
74090,Átila Lins,317,392,1858,0.3082794093247055
74095,Pauderney Avelino,73,392,485,0.08047121287539406
74141,Josias Gomes,153,392,647,0.10735025717604114
74156,Leonardo Monteiro,347,392,2105,0.3492616558818649
74158,Mário Heringer,310,392,1804,0.29931972789115646
74159,Odair Cunha,343,392,1740,0.2887008461921354
74160,Patrus Ananias,346,392,2431,0.4033515845362535
74161,Reginaldo Lopes,333,392,1995,0.3310104529616725
74165,,117,392,748,0.12410817985730878
74171,Chico Alencar,124,392,807,0.13389746142359382
74200,,158,392,985,0.1634312261489962
74212,,43,392,181,0.03003152480504397
74253,Julio Lopes,150,392,704,0.11680769868923178
74254,,40,392,196,0.032520325203252036
74262,Carlos Sampaio,339,392,1645,0.27293844367015097
74270,Gilberto Nascimento,286,392,1735,0.28787124605939934
