id_deputado,cargo,situacao,data_inicio
204379,Titular,Exercício,2023-02-01
220714,Titular,Exercício,2023-02-01
221328,Suplente,Exercício,2024-03-21
204560,Titular,Exercício,2023-02-01
204528,Titular,Exercício,2023-02-01
121948,Titular,Exercício,2023-02-01
74646,Titular,Exercício,2023-02-01
136811,Titular,Exercício,2023-02-01
178835,Titular,Exercício,2023-02-01
160527,Titular,Exercício,2023-02-01
204495,Titular,Exercício,2023-02-01
204549,Titular,Exercício,2023-02-01
73579,Titular,Exercício,2023-02-01
220538,Titular,Exercício,2023-02-01
160559,Titular,Exercício,2023-02-01
204501,Titular,Exercício,2023-02-01
178972,Titular,Exercício,2023-02-01
204571,Titular,Exercício,2023-02-01
220542,Titular,Exercício,2023-02-01
220554,Titular,Exercício,2023-02-01
221148,Suplente,Exercício,2025-02-03
220576,Titular,Exercício,2023-02-01
74057,Titular,Exercício,2023-02-01
178927,Titular,Exercício,2023-02-01
226708,Suplente,Exercício,2025-10-09
178937,Titular,Exercício,2023-02-01
178881,Titular,Exercício,2024-03-30
220707,Titular,Exercício,2024-09-04
204356,Titular,Exercício,2023-02-01
220715,Titular,Exercício,2023-02-01
107970,Titular,Exercício,2023-02-01
220556,Titular,Exercício,2023-02-01
220632,Titular,Exercício,2023-02-01
178831,Titular,Exercício,2025-08-01
220657,Titular,Exercício,2025-01-10
204423,Titular,Exercício,2023-02-01
133439,Titular,Exercício,2023-02-01
204515,Titular,Exercício,2025-10-16
220676,Titular,Exercício,2023-02-01
123756,Titular,Exercício,2023-02-01
220544,Titular,Exercício,2023-02-01
160553,Titular,Exercício,2023-02-01
220638,Titular,Exercício,2023-02-01
220675,Titular,Exercício,2023-02-01
220549,Titular,Exercício,2023-02-01
73433,Titular,Exercício,2023-02-01
141391,Titular,Exercício,2023-02-01
160541,Titular,Exercício,2023-02-01
160600,Titular,Exercício,2023-02-01
74090,Titular,Exercício,2023-02-01
123086,Titular,Exercício,2023-02-01
160665,Titular,Exercício,2023-02-01
160512,Titular,Exercício,2023-02-01
69871,Titular,Exercício,2023-02-01
178975,Titular,Exercício,2023-02-01
220605,Titular,Exercício,2023-02-01
220612,Titular,Exercício,2023-02-01
73701,Titular,Exercício,2023-02-01
109429,Titular,Exercício,2023-02-01
204358,Titular,Exercício,2023-02-01
220683,Titular,Exercício,2023-02-01
204374,Titular,Exercício,2023-02-01
204388,Titular,Exercício,2023-02-01
160538,Titular,Exercício,2023-02-01
210989,Titular,Exercício,2023-02-01
220635,Titular,Exercício,2023-02-01
220574,Titular,Exercício,2023-02-01
143942,Suplente,Exercício,2025-03-12
220548,Titular,Exercício,2023-02-01
204572,Titular,Exercício,2023-02-01
220690,Titular,Exercício,2023-02-01
178829,Titular,Exercício,2023-02-01
213762,Efetivado,Exercício,2025-01-01
204507,Titular,Exercício,2025-10-03
178993,Titular,Exercício,2023-02-01
204460,Titular,Exercício,2024-09-04
74262,Titular,Exercício,2023-02-01
204426,Titular,Exercício,2023-02-01
141398,Titular,Exercício,2023-02-01
220704,Titular,Exercício,2023-02-01
204369,Titular,Exercício,2023-02-01
220699,Titular,Exercício,2023-02-01
206018,Titular,Exercício,2023-02-01
178876,Titular,Exercício,2023-12-06
204488,Titular,Exercício,2024-03-27
73441,Titular,Exercício,2023-02-01
204504,Titular,Exercício,2023-02-01
205476,Suplente,Exercício,2024-12-10
74171,Titular,Exercício,2023-02-01
204462,Titular,Exercício,2023-02-01
220665,Titular,Exercício,2024-11-01
74537,Titular,Exercício,2023-02-01
141408,Titular,Exercício,2023-02-01
88256,Titular,Exercício,2023-02-01
98148,Titular,Exercício,2023-02-01
220594,Titular,Exercício,2023-02-01
204378,Titular,Exercício,2023-02-01
220595,Titular,Exercício,2023-02-01
220666,Titular,Exercício,2023-02-01
220590,Titular,Exercício,2023-02-01
178963,Titular,Exercício,2023-02-01
220608,Titular,Exercício,2023-02-01
204355,Titular,Exercício,2023-02-01
141411,Titular,Exercício,2023-02-01
220555,Titular,Exercício,2023-02-01
220692,Titular,Exercício,2023-02-01
74467,Titular,Exercício,2023-02-01
220629,Titular,Exercício,2023-02-01
220603,Titular,Exercício,2023-02-01
220571,Titular,Exercício,2023-02-01
74060,Titular,Exercício,2023-02-01
220582,Titular,Exercício,2023-02-01
204367,Titular,Exercício,2023-02-01
204409,Titular,Exercício,2023-02-01
204459,Titular,Exercício,2023-07-17
220557,Titular,Exercício,2023-02-01
62881,Titular,Exercício,2023-02-01
160552,Titular,Exercício,2024-10-17
204511,Titular,Exercício,2023-02-01
220659,Titular,Exercício,2023-02-01
220539,Titular,Exercício,2023-02-01
220565,Titular,Exercício,2023-02-01
220625,Titular,Exercício,2023-02-01
220561,Titular,Exercício,2023-02-01
220642,Titular,Exercício,2024-08-01
220673,Titular,Exercício,2023-02-01
220649,Titular,Exercício,2023-02-01
