id,uri,data,dataHoraRegistro,siglaOrgao,uriOrgao,uriEvento,proposicaoObjeto,uriProposicaoObjeto,descricao,aprovacao
2488795-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2488795-2,2025-04-01,2025-04-01T15:17:42,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Requerimento.,1
2488918-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2488918-2,2025-04-01,2025-04-01T15:17:48,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Requerimento. Subscreveu o dep. Dr. Francisco.,1
2488921-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2488921-2,2025-04-01,2025-04-01T15:17:48,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Requerimento.,1
2488922-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2488922-2,2025-04-01,2025-04-01T15:17:48,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Requerimento.,1
2488923-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2488923-2,2025-04-01,2025-04-01T15:17:48,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Requerimento.,1
2490500-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2490500-2,2025-04-01,2025-04-01T15:17:49,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Requerimento.,1
2490876-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2490876-2,2025-04-01,2025-04-01T15:17:49,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Requerimento.,1
2491069-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2491069-2,2025-04-01,2025-04-01T15:17:49,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Requerimento.,1
2491044-2,https://dadosabertos.camara.leg.br/api/v2/votacoes/2491044-2,2025-04-01,2025-04-01T15:23:18,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Requerimento.,1
2490837-3,https://dadosabertos.camara.leg.br/api/v2/votacoes/2490837-3,2025-04-01,2025-04-01T16:42:13,CASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,https://dadosabertos.camara.leg.br/api/v2/eventos/75750,,,"Aprovado o Requerimento, com alteração para incluir a Senhora Luciana Pacheco (Presidente do Sindicato dos Servidores das Justiças Federais no Estado do Rio de Janero - SISEJUFE) e um Representante do Ministério Público do Trabalho, a pedido do Deputado Prof. Reginaldo Veras e; um Representante da Confederação dos Trabalhadores no Serviço Público Federal (CONDSEF), um Representante da Confederação dos Trabalhadores no Serviço Público Municipal (CONFETAM) e um Representante da Confederação Nacional dos Servidores Públicos (CNSP), a pedido da Deputada Denise Pessôa.",1
2463814-34,https://dadosabertos.camara.leg.br/api/v2/votacoes/2463814-34,2025-04-01,2025-04-01T17:02:46,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/75760,,,Rejeitado o Requerimento. Sim: 88; Não: 269; Abstenção: 1; Total: 358.,0
2439739-24,https://dadosabertos.camara.leg.br/api/v2/votacoes/2439739-24,2025-04-01,2025-04-01T17:24:37,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Parecer.,1
2207821-56,https://dadosabertos.camara.leg.br/api/v2/votacoes/2207821-56,2025-04-01,2025-04-01T17:25:39,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Parecer.,1
2167224-61,https://dadosabertos.camara.leg.br/api/v2/votacoes/2167224-61,2025-04-01,2025-04-01T17:26:17,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Parecer.,1
2436170-31,https://dadosabertos.camara.leg.br/api/v2/votacoes/2436170-31,2025-04-01,2025-04-01T17:34:43,CPD,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,https://dadosabertos.camara.leg.br/api/v2/eventos/75735,,,Aprovado o Parecer.,1
2463814-40,https://dadosabertos.camara.leg.br/api/v2/votacoes/2463814-40,2025-04-01,2025-04-01T18:15:01,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/75760,,,Aprovado o Requerimento. Sim: 308; Não: 88; Total: 396.,1
2463814-44,https://dadosabertos.camara.leg.br/api/v2/votacoes/2463814-44,2025-04-01,2025-04-01T18:29:25,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/75760,,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN. Sim: 316; Não: 88; Abstenção: 1; Total: 405.",1
2463814-46,https://dadosabertos.camara.leg.br/api/v2/votacoes/2463814-46,2025-04-01,2025-04-01T18:49:41,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/75760,,,"Aprovada a Medida Provisória nº 1.268, de 2024. Sim: 317; Não: 92; Abstenção: 2; Total: 411.",1
2463814-48,https://dadosabertos.camara.leg.br/api/v2/votacoes/2463814-48,2025-04-01,2025-04-01T18:50:14,PLEN,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,https://dadosabertos.camara.leg.br/api/v2/eventos/75760,,,"Aprovada a Redação Final assinada pelo relator, Dep. Adail Filho (REPUBLICANOS/AM).",1
